T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
-2.8,1.0,-6.0,1023.5,78.0,11.3,8.3,16.5,284.7958333333333
-7.6,0.6,-13.3,1025.5,70.0,14.3,2.6,9.4,219.72083333333333
-4.3,4.4,-10.0,1026.7,74.0,15.3,5.7,14.8,182.1875
-1.6,9.4,-8.9,1028.1,64.0,15.9,4.3,16.5,154.03750000000002
3.8,13.9,-5.6,1021.5,49.0,16.1,5.0,14.8,223.20833333333331
9.3,14.4,0.6,1025.8,56.0,16.1,7.0,18.3,200.64583333333337
-2.1,3.9,-5.0,1017.7,79.0,14.8,18.3,25.9,285.225
-6.4,-2.2,-9.4,1031.0,67.0,16.1,5.0,13.0,236.825
-6.5,-1.1,-11.7,1029.3,73.0,16.1,3.9,14.8,276.90833333333336
10.4,18.3,6.1,1017.8,40.0,16.1,20.4,31.7,108.0
2.9,11.1,-3.3,1024.2,46.0,16.1,14.3,24.1,107.625
-5.1,-1.1,-7.8,1028.2,47.0,16.1,18.7,37.0,125.89166666666668
-0.2,6.7,-3.9,1023.6,46.0,16.1,10.7,20.6,181.01250000000005
-0.1,5.6,-4.4,1026.5,50.0,16.1,7.8,14.8,152.55416666666667
1.4,9.4,-2.8,1023.5,69.0,12.1,8.9,14.8,152.32083333333335
-2.3,1.0,-7.2,1016.2,63.0,14.8,23.9,40.7,319.7375
-8.9,-2.2,-13.3,1030.8,51.0,16.1,16.7,37.0,332.7083333333333
0.8,6.1,-2.2,1021.9,45.0,16.1,14.8,29.4,279.6
-0.8,2.2,-6.7,1021.1,68.0,13.0,12.4,35.2,179.11666666666667
5.9,10.0,0.0,1015.7,71.0,14.0,4.3,14.8,54.79166666666666
3.1,8.3,1.0,1023.9,78.0,13.4,15.6,25.9,93.375
1.3,6.7,-1.1,1026.3,70.0,16.1,11.1,18.3,103.0
5.2,12.2,-0.6,1012.7,60.0,16.1,8.3,27.8,132.20833333333334
7.5,13.9,2.2,1012.1,55.0,16.1,17.2,25.9,127.70833333333331
3.1,8.9,-1.1,1022.0,50.0,16.1,14.3,25.9,109.33333333333331
0.8,11.0,-3.9,1017.8,57.0,15.8,27.4,44.6,56.458333333333336
-5.0,-1.1,-8.3,1028.2,56.0,16.1,8.9,14.8,135.83333333333334
-4.1,-1.7,-6.7,1025.8,70.0,10.9,17.6,44.6,122.5
1.6,7.8,-5.0,1015.9,68.0,13.5,10.9,31.7,69.66666666666667
2.6,4.4,1.1,1001.1,87.0,6.8,18.0,33.5,79.83333333333333
1.1,2.0,0.6,1007.1,86.0,7.9,17.6,24.1,62.708333333333336
-0.3,1.1,-2.0,1020.4,84.0,6.9,11.7,18.3,21.20833333333333
-1.3,0.6,-3.0,1024.3,67.0,15.3,17.6,22.2,1.9166666666666667
-2.6,4.4,-8.9,1022.6,63.0,15.4,4.6,13.0,1.8333333333333333
-0.3,8.9,-7.8,1028.8,66.0,15.0,3.3,14.8,105.83333333333331
3.9,12.2,-3.9,1028.1,62.0,15.4,10.7,20.6,117.58333333333331
10.1,21.1,5.0,1018.5,52.0,15.0,12.2,22.2,122.70833333333331
1.7,6.1,-2.2,1027.2,50.0,15.9,21.9,31.7,111.95833333333331
2.3,12.8,-4.4,1026.5,55.0,16.1,5.7,18.3,59.208333333333336
8.3,22.2,-2.2,1014.6,59.0,15.8,2.4,9.4,77.20833333333333
3.7,9.4,-2.8,1020.0,44.0,16.1,13.7,24.1,98.70833333333331
0.1,6.1,-2.2,1023.7,58.0,16.1,17.6,31.7,123.70833333333331
-2.3,3.3,-7.8,1019.9,50.0,16.1,5.4,14.8,64.79166666666667
0.1,2.2,-2.0,1015.1,81.0,6.4,24.1,31.7,52.333333333333336
1.2,4.4,-0.6,1025.6,62.0,16.1,14.4,22.2,52.04166666666666
-0.3,8.3,-7.2,1028.8,65.0,16.1,2.0,11.1,128.33333333333334
12.6,20.0,8.0,1012.0,65.0,10.3,8.3,22.2,0.0
8.1,16.7,3.3,1019.2,45.0,16.1,13.7,24.1,23.20833333333333
