T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
7.3,9.6,3.0,1017.4,46.0,37.2,8.9,14.8,284.7958333333333
10.1,14.4,4.2,1015.2,36.0,29.9,16.1,27.8,219.72083333333333
3.7,7.0,1.3,1018.5,34.0,33.3,14.8,20.6,182.1875
5.7,8.9,2.1,1017.6,46.0,24.3,7.8,13.0,154.03750000000002
7.2,11.4,2.6,1015.3,62.0,24.3,7.4,13.0,223.20833333333331
6.3,9.4,3.1,1012.1,67.0,15.8,7.4,11.1,200.64583333333337
9.2,13.5,1.1,1018.9,44.0,24.1,7.2,14.8,285.225
2.5,4.4,0.8,1004.3,82.0,8.7,15.9,27.8,236.825
4.2,7.2,0.8,1018.7,49.0,32.8,11.3,18.3,276.90833333333336
5.9,9.8,-0.3,1020.9,45.0,35.7,8.0,13.0,108.0
6.0,10.4,1.8,1027.4,39.0,32.8,13.9,27.8,107.625
6.7,9.4,2.7,1022.9,58.0,27.2,8.3,14.8,125.89166666666668
6.1,13.4,2.1,1002.1,34.0,25.7,13.3,20.6,181.01250000000005
3.7,7.4,0.9,1006.5,32.0,37.2,12.4,16.5,152.55416666666667
4.9,9.4,0.8,1012.7,36.0,35.7,12.0,22.2,152.32083333333335
5.9,9.6,2.1,1034.1,43.0,28.6,6.9,13.0,319.7375
11.3,14.9,2.3,1025.6,66.0,16.1,13.3,22.2,332.7083333333333
13.9,20.9,6.8,1013.7,56.0,17.2,14.4,22.2,279.6
9.4,13.2,6.5,1020.6,39.0,24.3,10.7,24.1,179.11666666666667
7.7,12.7,2.9,1005.2,60.0,14.0,9.3,22.2,54.79166666666666
3.6,6.9,1.5,1016.3,28.0,24.3,18.7,29.4,93.375
4.5,8.4,1.4,1019.3,34.0,25.7,12.4,22.2,103.0
7.7,12.3,1.1,1018.1,40.0,27.2,12.6,35.2,132.20833333333334
7.3,9.9,5.0,1019.7,55.0,17.2,7.0,11.1,127.70833333333331
4.4,8.3,1.8,1010.6,66.0,13.4,13.5,24.1,109.33333333333331
3.7,6.3,1.7,1014.1,39.0,15.6,19.3,24.1,56.458333333333336
4.4,8.9,1.1,1017.0,34.0,31.4,13.0,25.9,135.83333333333334
4.7,9.0,0.9,1020.4,29.0,32.8,9.6,16.5,122.5
3.7,8.5,-0.5,1025.1,26.0,37.2,14.3,22.2,69.66666666666667
6.2,9.0,1.3,1021.7,48.0,20.4,9.8,18.3,79.83333333333333
5.8,9.1,2.6,1013.3,83.0,14.5,6.9,14.8,62.708333333333336
13.4,17.6,7.1,1004.4,54.0,21.9,20.0,29.4,21.20833333333333
7.3,12.0,3.7,1011.5,26.0,24.3,20.0,31.3,1.9166666666666667
